iter	Passed	Remaining
406	5284	7699
407	5295	7683
408	5306	7668
409	5318	7653
410	5327	7634
411	5338	7618
412	5355	7611
413	5371	7603
414	5385	7591
415	5398	7578
416	5406	7559
417	5418	7544
418	5429	7528
419	5437	7508
420	5450	7495
421	5458	7476
422	5470	7462
423	5482	7448
424	5491	7429
425	5504	7417
426	5516	7402
427	5527	7387
428	5536	7369
429	5549	7356
430	5569	7352
431	5584	7343
432	5604	7338
433	5626	7338
434	5644	7331
435	5653	7313
436	5667	7301
437	5679	7287
438	5692	7274
439	5709	7266
440	5724	7256
441	5735	7241
442	5748	7227
443	5777	7235
444	5797	7230
445	5817	7226
446	5846	7232
447	5863	7224
448	5881	7217
449	5895	7205
450	5910	7194
451	5926	7185
452	5953	7189
453	5975	7186
454	6001	7188
455	6024	7186
456	6042	7179
457	6070	7184
458	6087	7174
459	6103	7165
460	6115	7149
461	6125	7132
462	6143	7124
463	6157	7112
464	6174	7103
465	6188	7091
466	6204	7081
467	6226	7078
468	6240	7065
469	6256	7055
470	6285	7059
471	6315	7065
472	6332	7055
473	6350	7046
474	6366	7036
475	6395	7040
476	6420	7040
477	6445	7038
478	6461	7027
479	6476	7015
480	6486	6998
481	6499	6985
482	6514	6972
483	6529	6961
484	6544	6949
485	6558	6936
486	6566	6917
487	6579	6902
488	6591	6888
489	6600	6869
490	6612	6854
491	6623	6838
492	6631	6820
493	6657	6819
494	6675	6810
495	6688	6796
496	6698	6779
497	6710	6764
498	6727	6754
499	6741	6741
500	6758	6731
501	6772	6718
502	6786	6706
503	6801	6693
504	6811	6677
505	6823	6661
506	6835	6646
507	6844	6629
508	6857	6615
509	6870	6600
510	6881	6584
511	6890	6567
512	6904	6554
513	6919	6542
514	6935	6531
515	6949	6518
516	6966	6508
517	6979	6494
518	6991	6479
519	7007	6468
520	7022	6456
521	7038	6445
522	7063	6442
523	7081	6433
524	7092	6416
525	7101	6399
526	7112	6383
527	7121	6365
528	7132	6350
529	7144	6336
530	7153	6317
531	7166	6303
532	7177	6288
533	7185	6270
534	7196	6254
535	7209	6241
536	7218	6223
537	7233	6211
538	7247	6199
539	7265	6188
540	7278	6175
541	7291	6161
542	7305	6148
543	7315	6132
544	7329	6119
545	7344	6106
546	7359	6094
547	7372	6081
548	7388	6069
549	7401	6055
550	7410	6038
551	7422	6024
552	7431	6006
553	7441	5991
554	7453	5975
555	7461	5958
556	7473	5943
557	7485	5929
558	7497	5914
559	7506	5898
560	7520	5884
561	7537	5874
562	7552	5861
563	7563	5846
564	7572	5830
565	7588	5818
566	7601	5805
567	7614	5791
568	7624	5775
569	7638	5762
570	7652	5749
571	7667	5737
572	7680	5723
573	7694	5710
574	7712	5700
575	7722	5684
576	7738	5672
577	7749	5658
578	7760	5642
579	7769	5625
580	7779	5610
581	7790	5595
582	7800	5579
583	7812	5564
584	7824	5551
585	7833	5534
586	7844	5519
587	7856	5504
588	7865	5488
589	7876	5473
590	7886	5457
591	7897	5442
592	7909	5428
593	7926	5417
594	7939	5403
595	7949	5388
596	7962	5375
597	7975	5361
598	7995	5352
599	8014	5342
600	8030	5331
601	8044	5318
602	8058	5305
603	8070	5290
604	8078	5274
605	8089	5259
606	8100	5244
607	8109	5228
608	8122	5214
609	8133	5200
610	8141	5183
611	8153	5169
612	8165	5154
613	8175	5139
614	8190	5127
615	8203	5114
616	8216	5100
617	8226	5085
618	8235	5068
619	8246	5054
620	8255	5038
621	8265	5023
622	8276	5008
623	8285	4992
624	8296	4977
625	8308	4963
626	8319	4948
627	8334	4936
628	8348	4924
629	8361	4910
630	8376	4898
631	8390	4885
632	8400	4870
633	8415	4858
634	8431	4846
635	8444	4832
636	8461	4821
637	8479	4811
638	8492	4797
639	8504	4783
640	8514	4768
641	8535	4759
642	8544	4744
643	8556	4730
644	8567	4715
645	8576	4699
646	8587	4685
647	8596	4669
648	8608	4655
649	8621	4642
650	8629	4626
651	8642	4612
652	8653	4598
653	8661	4582
654	8673	4568
655	8685	4554
656	8693	4538
657	8705	4524
658	8717	4510
659	8725	4495
660	8740	4482
661	8754	4469
662	8768	4456
663	8781	4443
664	8791	4428
665	8806	4416
666	8823	4405
667	8839	4393
668	8852	4379
669	8867	4367
670	8881	4354
671	8895	4341
672	8903	4326
673	8917	4313
674	8932	4300
675	8945	4287
676	8959	4274
677	8967	4258
678	8978	4244
679	8987	4229
680	9000	4215
681	9013	4202
682	9026	4189
683	9040	4176
684	9056	4164
685	9067	4150
686	9082	4138
687	9097	4125
688	9113	4113
689	9128	4101
690	9142	4088
691	9159	4076
692	9171	4062
693	9179	4047
694	9191	4033
695	9202	4019
696	9210	4003
697	9221	3989
698	9229	3974
699	9240	3960
700	9251	3946
701	9270	3935
702	9280	3920
703	9290	3906
704	9304	3893
705	9317	3880
706	9331	3867
707	9349	3856
708	9370	3846
709	9384	3832
710	9398	3820
711	9412	3807
712	9421	3792
713	9429	3777
714	9442	3763
715	9454	3750
716	9462	3734
717	9474	3721
718	9486	3707
719	9495	3692
720	9508	3679
721	9523	3666
722	9537	3653
723	9550	3640
724	9569	3629
725	9583	3616
726	9593	3602
727	9606	3589
728	9620	3576
729	9633	3563
730	9646	3549
731	9658	3536
732	9673	3523
733	9686	3510
734	9698	3496
735	9706	3481
736	9719	3468
737	9731	3454
738	9739	3439
739	9764	3430
740	9776	3417
741	9784	3402
742	9796	3388
743	9804	3373
744	9815	3359
745	9827	3345
746	9835	3331
747	9849	3318
748	9865	3306
749	9881	3293
750	9894	3280
751	9907	3267
752	9923	3255
753	9934	3241
754	9948	3228
755	9964	3216
756	9979	3203
757	9993	3190
758	10006	3177
759	10014	3162
760	10027	3149
761	10039	3135
762	10048	3121
763	10060	3107
764	10072	3094
765	10081	3079
766	10092	3065
767	10103	3052
768	10113	3038
769	10124	3024
770	10135	3010
771	10144	2995
772	10158	2983
773	10170	2969
774	10182	2956
775	10205	2945
776	10221	2933
777	10234	2920
778	10248	2907
779	10259	2893
780	10276	2881
781	10288	2868
782	10300	2854
783	10313	2841
784	10328	2828
785	10338	2814
786	10351	2801
787	10363	2788
788	10372	2773
789	10384	2760
790	10395	2746
791	10404	2732
792	10415	2718
793	10428	2705
794	10436	2691
795	10449	2677
796	10462	2664
797	10470	2650
798	10481	2636
799	10493	2623
800	10507	2610
801	10515	2596
802	10531	2583
803	10545	2570
804	10558	2557
805	10568	2543
806	10581	2530
807	10595	2517
808	10612	2505
809	10632	2494
810	10649	2481
811	10662	2468
812	10678	2456
813	10690	2442
814	10703	2429
815	10712	2415
816	10724	2402
817	10737	2388
818	10745	2374
819	10756	2361
820	10767	2347
821	10777	2333
822	10791	2320
823	10807	2308
824	10823	2295
825	10838	2283
826	10852	2270
827	10864	2256
828	10876	2243
829	10890	2230
830	10906	2218
831	10922	2205
832	10936	2192
833	10948	2179
834	10956	2165
835	10967	2151
836	10979	2138
837	10988	2124
838	11000	2110
839	11013	2097
840	11021	2083
841	11035	2070
842	11050	2057
843	11072	2046
844	11085	2033
845	11101	2020
846	11116	2008
847	11132	1995
848	11145	1982
849	11157	1968
850	11169	1955
851	11181	1942
852	11194	1929
853	11202	1915
854	11213	1901
855	11226	1888
856	11237	1875
857	11245	1861
858	11257	1847
859	11269	1834
860	11277	1820
861	11289	1807
862	11298	1793
863	11310	1780
864	11324	1767
865	11336	1754
866	11345	1740
867	11358	1727
868	11373	1714
869	11388	1701
870	11401	1688
871	11410	1674
872	11428	1662
873	11440	1649
874	11454	1636
875	11468	1623
876	11491	1611
877	11506	1598
878	11520	1585
879	11533	1572
880	11541	1559
881	11553	1545
882	11565	1532
883	11573	1518
884	11584	1505
885	11596	1492
886	11604	1478
887	11616	1465
888	11627	1451
889	11638	1438
890	11649	1425
891	11660	1411
892	11669	1398
893	11681	1385
894	11694	1371
895	11704	1358
896	11717	1345
897	11730	1332
898	11743	1319
899	11758	1306
900	11768	1293
901	11781	1280
902	11797	1267
903	11811	1254
