iter	Logloss
0	0.6738877599
1	0.6558740147
2	0.6385993906
3	0.6223485537
4	0.6073711359
5	0.5909532006
6	0.5792040291
7	0.566360508
8	0.5537596448
9	0.5409651605
10	0.5296239334
11	0.5181139604
12	0.5088215707
13	0.4982974953
14	0.4891959811
15	0.4819305187
16	0.4737828881
17	0.4651228149
18	0.4588639521
19	0.451826129
20	0.4457416131
21	0.4393606799
22	0.4331674649
23	0.4272721222
24	0.4223711063
25	0.4169996556
26	0.412235399
27	0.4070888421
28	0.4035531137
29	0.399513454
30	0.394982685
31	0.3902964315
32	0.3862979836
33	0.3830091688
34	0.3795169585
35	0.3760293059
36	0.3722559714
37	0.3697449362
38	0.3672522967
39	0.3646736094
40	0.3616634752
41	0.3592487014
42	0.3566232013
43	0.3541750683
44	0.3516103287
45	0.3492157079
46	0.347077226
47	0.3448805918
48	0.3429259018
49	0.3413010982
50	0.3393718052
51	0.3374659323
52	0.3356570623
53	0.3337690085
54	0.3320487671
55	0.3309008229
56	0.3292130347
57	0.3279458482
58	0.3263239275
59	0.3251259032
60	0.323983011
61	0.3228459669
62	0.3214358983
63	0.3202603332
64	0.3192806132
65	0.3181837102
66	0.3169396693
67	0.3159139052
68	0.3149786918
69	0.3140956726
70	0.3130309482
71	0.312226948
72	0.3115512781
73	0.3107050777
74	0.3098050356
75	0.3091351865
76	0.3083744298
77	0.3077113898
78	0.3069960731
79	0.3063694675
80	0.3057783902
81	0.3050843795
82	0.3045187541
83	0.3036888902
84	0.3031390795
85	0.3024383696
86	0.3020268559
87	0.3013842158
88	0.3005622044
89	0.2998696764
90	0.2994481411
91	0.2986805753
92	0.2979956527
93	0.2974724471
94	0.2968858727
95	0.2964833646
96	0.2959340207
97	0.2956184116
98	0.2950263459
99	0.2945282079
100	0.294043441
101	0.2937644584
102	0.2933916855
103	0.2927008323
104	0.292255822
105	0.2919117683
106	0.2913937794
107	0.2910066194
108	0.2907013887
109	0.2902192302
110	0.2897644729
111	0.289568518
112	0.2892965917
113	0.2889824926
114	0.2884667002
115	0.2882165192
116	0.2878564859
117	0.2876225865
118	0.2873612583
119	0.2870304384
120	0.2867241369
121	0.2862610879
122	0.2858937238
123	0.2855861044
124	0.2851909821
125	0.2848444024
126	0.2843201535
127	0.2838895303
128	0.2835793025
129	0.2831368457
130	0.2828380398
131	0.2826348638
132	0.2822777958
133	0.282060123
134	0.2815965797
135	0.2814162748
136	0.2811360018
137	0.2806377814
138	0.2803286245
139	0.2801304456
140	0.2799374284
141	0.2796421643
142	0.279258656
143	0.279021599
144	0.2787553836
145	0.278535679
146	0.278355731
147	0.2781543123
148	0.2779036096
149	0.2776634776
150	0.2772494654
151	0.2771462575
152	0.2768992614
153	0.2765413148
154	0.2763400608
155	0.2760477345
156	0.2757721016
157	0.2755085769
158	0.2752436244
159	0.2750118666
160	0.2748776057
161	0.274667044
162	0.2743875947
163	0.2740901341
164	0.2736894931
165	0.2735315101
166	0.2733294873
167	0.2731135716
168	0.272934969
169	0.2727803356
170	0.272523977
171	0.2724069037
172	0.272291615
173	0.2720724047
174	0.2719444313
175	0.2715739372
176	0.2713417674
177	0.2711663772
178	0.2709362392
179	0.2707824295
180	0.2706371313
181	0.2704622352
182	0.270248873
183	0.2700912194
184	0.2697531511
185	0.2695537641
186	0.2693273053
187	0.2691670708
188	0.2689367407
189	0.2686912547
190	0.2684693261
191	0.2683488483
192	0.2682006671
193	0.2680180284
194	0.2678064783
195	0.267601655
196	0.2673812914
197	0.2671973623
198	0.2668423809
199	0.2666296777
200	0.2665380014
201	0.2662439179
202	0.2660395339
203	0.2658729845
204	0.265668573
205	0.2654722336
206	0.2652536822
207	0.264869762
208	0.2645629389
209	0.2644245046
210	0.2642022741
211	0.2641067814
212	0.2640108494
213	0.2638094032
214	0.2636654228
215	0.2634577166
216	0.2632011108
217	0.2628190851
218	0.2625551485
219	0.2624302777
220	0.2622239717
221	0.2621229878
222	0.2617982632
223	0.2615659836
224	0.2613895226
225	0.2612499077
226	0.2610171065
227	0.2607525659
228	0.2604874488
229	0.2601906197
230	0.2597955523
231	0.2595155538
232	0.2591300137
233	0.2589438332
234	0.2587165506
235	0.2585202662
236	0.258310336
237	0.258233239
238	0.2579887689
239	0.2578765553
240	0.2576802434
241	0.257577969
242	0.2574207548
243	0.2572451449
244	0.2571056673
245	0.2569305516
246	0.2569130345
247	0.2567666655
248	0.256670404
249	0.25657104
250	0.2563571286
251	0.256192007
252	0.2560331728
253	0.2559185706
254	0.2557391717
255	0.2555504377
256	0.2553562125
257	0.2552222536
258	0.2550595207
259	0.2548566193
